timestamp,command,left_speed,right_speed,IR1,IR2,IR3,IR4,IR5,IR6,IR7,Wall,Door_Start,Door,Door_Passed
9.11,Stop,0,0,0,3,0,2,10,2,0,0.25,0.25,0.25,0.25
9.27,Stop,0,0,0,3,2,0,10,2,4,0.25,0.25,0.25,0.25
9.49,Stop,0,0,0,3,0,2,8,1,1,0.25,0.25,0.25,0.25
9.85,Stop,0,0,1,2,3,1,13,0,4,0.25,0.25,0.25,0.25
10.22,Stop,0,0,0,2,0,1,11,0,1,0.25,0.25,0.25,0.25
10.58,Stop,0,0,0,3,1,3,12,0,2,0.25,0.25,0.25,0.25
10.94,Forward,10,10,0,0,2,0,12,0,2,0.25,0.25,0.25,0.25
11.3,Forward,10,10,1,1,2,2,13,1,4,0.25,0.25,0.25,0.25
11.66,Forward,10,10,0,3,1,2,13,1,2,0.25,0.25,0.25,0.25
12.02,Right,5,-5,0,1,0,1,10,0,1,0.25,0.25,0.25,0.25
12.37,Right,5,-5,0,0,4,0,11,0,6,0.25,0.25,0.25,0.25
12.74,Forward,10,10,0,0,0,0,7,2,9,0.25,0.25,0.25,0.25
13.1,Forward,10,10,0,2,4,2,8,3,14,0.25,0.25,0.25,0.25
13.46,Left,-5,5,0,1,1,3,9,3,16,0.25,0.25,0.25,0.25
13.82,Forward,10,10,0,2,4,4,11,2,12,0.25,0.25,0.25,0.25
14.18,Forward,10,10,0,0,0,0,6,0,7,0.25,0.25,0.25,0.25
14.53,Forward,10,10,0,1,4,3,9,1,13,0.25,0.25,0.25,0.25
14.89,Forward,10,10,0,1,3,0,8,1,12,0.25,0.25,0.25,0.25
15.26,Forward,10,10,1,0,2,0,9,1,19,0.25,0.25,0.25,0.25
15.62,Forward,10,10,0,3,1,3,8,1,21,0.25,0.25,0.25,0.25
15.98,Forward,10,10,0,3,3,2,8,4,30,0.25,0.25,0.25,0.25
16.4,Forward,10,10,0,0,4,0,11,3,35,0.25,0.25,0.25,0.25
16.76,Forward,10,10,0,0,1,0,9,0,51,0.25,0.25,0.25,0.25
17.18,Forward,10,10,0,1,2,0,9,0,70,0.25,0.25,0.25,0.25
17.54,Forward,10,10,1,3,3,2,10,3,162,0.25,0.25,0.25,0.25
17.9,Forward,10,10,1,2,5,2,15,3,515,0.25,0.25,0.25,0.25
18.26,Forward,10,10,1,4,2,3,23,3,463,0.25,0.25,0.25,0.25
18.61,Forward,10,10,2,2,3,3,25,2,65,0.25,0.25,0.25,0.25
18.98,Forward,10,10,0,1,2,2,22,2,53,0.25,0.25,0.25,0.25
19.34,Forward,10,10,0,0,3,0,24,2,56,0.25,0.25,0.25,0.25
19.7,Left,-5,5,0,3,0,2,22,2,62,0.25,0.25,0.25,0.25
20.12,Left,-5,5,0,2,2,2,22,3,67,0.25,0.25,0.25,0.25
20.48,Forward,10,10,0,1,0,3,18,2,37,0.25,0.25,0.25,0.25
20.84,Forward,10,10,0,3,3,3,19,1,13,0.25,0.25,0.25,0.25
21.2,Right,5,-5,0,2,2,0,16,0,9,0.25,0.25,0.25,0.25
21.56,Forward,10,10,0,1,2,2,23,0,21,0.25,0.25,0.25,0.25
21.92,Forward,10,10,0,1,0,1,19,2,50,0.25,0.25,0.25,0.25
22.28,Forward,10,10,1,0,2,0,21,1,68,0.25,0.25,0.25,0.25
22.64,Forward,10,10,0,0,0,1,15,0,77,0.25,0.25,0.25,0.25
23.0,Forward,10,10,0,0,4,0,19,4,89,0.25,0.25,0.25,0.25
23.36,Forward,10,10,0,0,3,2,18,6,101,0.25,0.25,0.25,0.25
23.72,Forward,10,10,1,0,4,0,20,7,116,0.25,0.25,0.25,0.25
24.14,Forward,10,10,1,5,4,4,18,9,131,0.25,0.25,0.25,0.25
24.5,Forward,10,10,0,3,2,3,16,10,153,0.25,0.25,0.25,0.25
24.86,Forward,10,10,0,2,4,1,16,9,175,0.25,0.25,0.25,0.25
25.22,Forward,10,10,1,2,4,2,13,8,202,0.25,0.25,0.25,0.25
25.58,Forward,10,10,0,0,3,0,17,6,230,0.25,0.25,0.25,0.25
25.94,Forward,10,10,0,3,4,3,19,11,264,0.25,0.25,0.25,0.25
26.38,Left,-5,5,0,3,2,1,19,17,300,0.25,0.25,0.25,0.25
26.72,Forward,10,10,0,3,4,5,20,29,335,0.25,0.25,0.25,0.25
27.08,Forward,10,10,0,0,1,1,20,17,217,0.25,0.25,0.25,0.25
27.44,Forward,10,10,1,3,2,3,17,32,164,0.25,0.25,0.25,0.25
27.8,Forward,10,10,0,1,0,2,11,66,178,0.25,0.25,0.25,0.25
28.17,Forward,10,10,2,3,3,0,11,40,262,0.25,0.25,0.25,0.25
28.59,Forward,10,10,0,1,2,0,8,6,401,0.25,0.25,0.25,0.25
28.94,Forward,10,10,4,3,4,2,10,4,1337,0.25,0.25,0.25,0.25
29.3,Forward,10,10,0,1,1,2,4,8,0,0.25,0.25,0.25,0.25
29.66,Forward,10,10,5,0,6,3,12,25,2445,0.25,0.25,0.25,0.25
30.02,Forward,10,10,1,1,2,1,6,17,1182,0.25,0.25,0.25,0.25
30.38,Forward,10,10,1,3,3,0,8,30,1103,0.25,0.25,0.25,0.25
30.74,Forward,10,10,3,0,3,0,8,11,1069,0.25,0.25,0.25,0.25
31.22,Forward,10,10,2,1,4,0,9,1,961,0.25,0.25,0.25,0.25
31.58,Forward,10,10,2,2,1,0,9,1,948,0.25,0.25,0.25,0.25
31.94,Forward,10,10,6,1,7,2,13,3,2881,0.25,0.25,0.25,0.25
32.36,Forward,10,10,1,1,3,0,20,1,206,0.25,0.25,0.25,0.25
32.72,Forward,10,10,0,4,1,4,18,5,53,0.25,0.25,0.25,0.25
33.14,Forward,10,10,0,5,1,4,17,5,42,0.25,0.25,0.25,0.25
33.51,Forward,10,10,1,2,2,1,21,0,38,0.25,0.25,0.25,0.25
33.86,Forward,10,10,0,1,3,0,18,1,33,0.25,0.25,0.25,0.25
34.22,Forward,10,10,0,2,3,1,19,2,33,0.25,0.25,0.25,0.25
34.64,Forward,10,10,0,3,2,5,20,4,31,0.25,0.25,0.25,0.25
35.0,Forward,10,10,0,0,3,0,20,0,29,0.25,0.25,0.25,0.25
35.42,Forward,10,10,0,3,4,2,22,3,27,0.25,0.25,0.25,0.25
35.86,Forward,10,10,0,2,3,0,22,0,25,0.25,0.25,0.25,0.25
36.2,Forward,10,10,0,0,0,0,20,0,22,0.25,0.25,0.25,0.25
36.62,Forward,10,10,0,0,2,0,23,0,20,0.25,0.25,0.25,0.25
36.98,Forward,10,10,0,2,0,2,18,1,14,0.25,0.25,0.25,0.25
37.34,Forward,10,10,0,3,0,2,22,2,16,0.25,0.25,0.25,0.25
37.7,Forward,10,10,0,0,0,1,23,0,17,0.25,0.25,0.25,0.25
38.06,Forward,10,10,1,2,2,1,26,1,19,0.25,0.25,0.25,0.25
38.42,Right,5,-5,0,0,1,1,26,2,18,0.25,0.25,0.25,0.25
38.84,Forward,10,10,0,1,2,2,24,3,19,0.25,0.25,0.25,0.25
39.2,Forward,10,10,0,0,4,3,29,5,32,0.25,0.25,0.25,0.25
39.56,Forward,10,10,0,0,1,1,25,6,38,0.25,0.25,0.25,0.25
39.92,Forward,10,10,0,2,0,2,25,11,43,0.25,0.25,0.25,0.25
40.28,Forward,10,10,0,2,0,2,16,17,46,0.25,0.25,0.25,0.25
40.64,Forward,10,10,0,1,3,2,10,34,68,0.25,0.25,0.25,0.25
41.0,Forward,10,10,1,2,4,2,9,28,104,0.25,0.25,0.25,0.25
41.36,Forward,10,10,0,0,1,1,6,6,151,0.25,0.25,0.25,0.25
41.72,Forward,10,10,0,1,3,3,9,8,424,0.25,0.25,0.25,0.25
42.08,Forward,10,10,4,0,3,0,8,4,1627,0.25,0.25,0.25,0.25
42.44,Forward,10,10,4,0,6,0,12,7,2714,0.25,0.25,0.25,0.25
42.8,Left,-5,5,2,2,3,2,9,12,800,0.25,0.25,0.25,0.25
43.16,Forward,10,10,1,3,5,4,10,16,962,0.25,0.25,0.25,0.25
43.52,Forward,10,10,0,1,0,2,5,2,450,0.25,0.25,0.25,0.25
43.88,Forward,10,10,0,1,1,2,6,3,319,0.25,0.25,0.25,0.25
44.24,Forward,10,10,0,1,2,2,7,0,282,0.25,0.25,0.25,0.25
44.6,Forward,10,10,0,1,3,0,7,1,243,0.25,0.25,0.25,0.25
44.96,Forward,10,10,1,2,2,1,7,2,206,0.25,0.25,0.25,0.25
45.32,Forward,10,10,2,1,1,1,6,3,175,0.25,0.25,0.25,0.25
45.68,Forward,10,10,0,1,0,0,5,0,145,0.25,0.25,0.25,0.25
46.04,Forward,10,10,0,0,0,1,5,0,121,0.25,0.25,0.25,0.25
46.4,Forward,10,10,0,0,4,0,8,0,104,0.25,0.25,0.25,0.25
46.76,Forward,10,10,0,0,2,0,7,0,82,0.25,0.25,0.25,0.25
47.12,Forward,10,10,2,0,4,0,7,0,65,0.25,0.25,0.25,0.25
47.48,Forward,10,10,0,2,0,3,3,2,51,0.25,0.25,0.25,0.25
